0.933,2.766,,,,
0.933,3.67,,,,
0.933,4.571,,,,
0.933,5.446,,,,2.766
0.933,6.343,,,,3.67
1.5919,2.766,,,,4.571
1.5919,3.67,,,,5.446
1.5919,4.571,,,,6.343
1.5919,5.446,,,,7.251
1.5919,6.343,,,,8.125
1.5919,7.251,,,,
1.5919,8.125,,,,
2.052,2.766,,,,
2.052,3.67,,,,
2.052,4.571,,,,
2.052,5.446,,,,
2.052,6.343,,,,
2.052,7.251,,,,
2.052,8.125,,,,
2.588,2.766,,,,
2.588,3.67,,,,
2.588,4.571,,,,
2.588,5.446,,,,
2.588,6.343,,,,
2.588,7.251,,,,
2.588,8.125,,,,
3.125,2.766,,,,
3.125,3.67,,,,
3.125,4.571,,,,
3.125,5.446,,,,
3.125,6.343,,,,
3.125,7.251,,,,
3.125,8.125,,,,
3.685,2.766,,,,
3.685,3.67,,,,
3.685,4.571,,,,
3.685,5.446,,,,
3.685,6.343,,,,
3.685,7.251,,,,
3.685,8.125,,,,
4.193,2.766,,,,
4.193,3.67,,,,
4.193,4.571,,,,
4.193,5.446,,,,
4.193,6.343,,,,
4.193,7.251,,,,
4.193,8.125,,,,
4.725,2.766,,,,
4.725,3.67,,,,
4.725,4.571,,,,
4.725,5.446,,,,
4.725,6.343,,,,
4.725,7.251,,,,
4.725,8.125,,,,
5.258,2.766,,,,
5.258,3.67,,,,
5.258,4.571,,,,
5.258,5.446,,,,
5.258,6.343,,,,
5.258,7.251,,,,
5.258,8.125,,,,
5.798,2.766,,,,
5.798,3.67,,,,
5.798,4.571,,,,
5.798,5.446,,,,
5.798,6.343,,,,
